Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENST00000361390	ENSG00000198888	MT-ND1
ENST00000361453	ENSG00000198763	MT-ND2
ENST00000361624	ENSG00000198804	MT-CO1
ENST00000361739	ENSG00000198712	MT-CO2
ENST00000361851	ENSG00000228253	MT-ATP8
ENST00000361899	ENSG00000198899	MT-ATP6
ENST00000362079	ENSG00000198938	MT-CO3
ENST00000361227	ENSG00000198840	MT-ND3
ENST00000361335	ENSG00000212907	MT-ND4L
ENST00000361381	ENSG00000198886	MT-ND4
ENST00000361567	ENSG00000198786	MT-ND5
ENST00000361681	ENSG00000198695	MT-ND6
ENST00000361789	ENSG00000198727	MT-CYB
ENST00000422247	ENSG00000174799	CEP135
ENST00000257287	ENSG00000174799	CEP135
ENST00000235332	ENSG00000116691	MIIP
ENST00000227520	ENSG00000110104	CCDC86
ENST00000545580	ENSG00000110104	CCDC86
ENST00000596831	ENSG00000268163	AC004076.9
ENST00000278302	ENSG00000121236	TRIM6
ENST00000507320	ENSG00000121236	TRIM6
ENST00000380107	ENSG00000121236	TRIM6
ENST00000380097	ENSG00000121236	TRIM6
ENST00000445329	ENSG00000121236	TRIM6
ENST00000515022	ENSG00000121236	TRIM6
ENST00000506134	ENSG00000121236	TRIM6
ENST00000621176	ENSG00000121236	TRIM6
ENST00000618326	ENSG00000121236	TRIM6
ENST00000268459	ENSG00000140807	NKD1
ENST00000418458	ENSG00000163938	GNL3
ENST00000394799	ENSG00000163938	GNL3
ENST00000261789	ENSG00000100926	TM9SF1
ENST00000528669	ENSG00000100926	TM9SF1
ENST00000529332	ENSG00000100926	TM9SF1
ENST00000524835	ENSG00000100926	TM9SF1
ENST00000396854	ENSG00000100926	TM9SF1
ENST00000528895	ENSG00000100926	TM9SF1
ENST00000530563	ENSG00000100926	TM9SF1
ENST00000530468	ENSG00000100926	TM9SF1
ENST00000525592	ENSG00000100926	TM9SF1
ENST00000528010	ENSG00000100926	TM9SF1
ENST00000264982	ENSG00000114107	CEP70
ENST00000489254	ENSG00000114107	CEP70
ENST00000484888	ENSG00000114107	CEP70
ENST00000474781	ENSG00000114107	CEP70
ENST00000481834	ENSG00000114107	CEP70
ENST00000464035	ENSG00000114107	CEP70
ENST00000589155	ENSG00000256294	ZNF225
ENST00000262894	ENSG00000256294	ZNF225
ENST00000588926	ENSG00000256294	ZNF225
ENST00000592780	ENSG00000256294	ZNF225
ENST00000590612	ENSG00000256294	ZNF225
ENST00000273450	ENSG00000144908	ALDH1L1
ENST00000472186	ENSG00000144908	ALDH1L1
ENST00000452905	ENSG00000144908	ALDH1L1
ENST00000393434	ENSG00000144908	ALDH1L1
ENST00000473607	ENSG00000144908	ALDH1L1
ENST00000493803	ENSG00000144908	ALDH1L1
ENST00000490367	ENSG00000144908	ALDH1L1
ENST00000460368	ENSG00000144908	ALDH1L1
ENST00000488356	ENSG00000144908	ALDH1L1
ENST00000509952	ENSG00000144908	ALDH1L1
ENST00000511283	ENSG00000144908	ALDH1L1
ENST00000393431	ENSG00000144908	ALDH1L1
ENST00000455064	ENSG00000144908	ALDH1L1
ENST00000446465	ENSG00000168917	SLC35G2
ENST00000393079	ENSG00000168917	SLC35G2
ENST00000219689	ENSG00000103404	USP31
ENST00000563525	ENSG00000103404	USP31
ENST00000553728	ENSG00000258941	RP11-407N17.3
ENST00000372037	ENSG00000107779	BMPR1A
ENST00000524087	ENSG00000254206	NPIPB11
ENST00000614927	ENSG00000254206	NPIPB11
ENST00000218388	ENSG00000102265	TIMP1
ENST00000456754	ENSG00000102265	TIMP1
ENST00000377017	ENSG00000102265	TIMP1
ENST00000441738	ENSG00000102265	TIMP1
ENST00000445623	ENSG00000102265	TIMP1
ENST00000585656	ENSG00000267477	CTC-398G3.6
ENST00000280571	ENSG00000150977	RILPL2
ENST00000505059	ENSG00000171421	MRPL36
ENST00000505818	ENSG00000171421	MRPL36
ENST00000508987	ENSG00000171421	MRPL36
ENST00000382647	ENSG00000171421	MRPL36
ENST00000396467	ENSG00000147604	RPL7
ENST00000352983	ENSG00000147604	RPL7
ENST00000396466	ENSG00000147604	RPL7
ENST00000396465	ENSG00000147604	RPL7
ENST00000227752	ENSG00000110324	IL10RA
ENST00000526544	ENSG00000110324	IL10RA
ENST00000361354	ENSG00000061676	NCKAP1
ENST00000360982	ENSG00000061676	NCKAP1
ENST00000529984	ENSG00000132781	MUTYH
ENST00000485271	ENSG00000132781	MUTYH
ENST00000372104	ENSG00000132781	MUTYH
ENST00000448481	ENSG00000132781	MUTYH
ENST00000456914	ENSG00000132781	MUTYH
ENST00000354383	ENSG00000132781	MUTYH
ENST00000355498	ENSG00000132781	MUTYH
ENST00000372098	ENSG00000132781	MUTYH
ENST00000372110	ENSG00000132781	MUTYH
ENST00000372115	ENSG00000132781	MUTYH
ENST00000488731	ENSG00000132781	MUTYH
ENST00000467459	ENSG00000132781	MUTYH
ENST00000529892	ENSG00000132781	MUTYH
ENST00000528013	ENSG00000132781	MUTYH
ENST00000412971	ENSG00000132781	MUTYH
ENST00000435155	ENSG00000132781	MUTYH
ENST00000450313	ENSG00000132781	MUTYH
ENST00000311812	ENSG00000174226	SNX31
ENST00000428383	ENSG00000174226	SNX31
ENST00000520352	ENSG00000174226	SNX31
ENST00000520661	ENSG00000174226	SNX31
ENST00000520743	ENSG00000174226	SNX31
ENST00000436732	ENSG00000175497	DPP10
ENST00000410059	ENSG00000175497	DPP10
ENST00000409163	ENSG00000175497	DPP10
ENST00000393146	ENSG00000175497	DPP10
ENST00000393147	ENSG00000175497	DPP10
ENST00000310323	ENSG00000175497	DPP10
ENST00000419287	ENSG00000175497	DPP10
ENST00000544907	ENSG00000109079	TNFAIP1
ENST00000578158	ENSG00000109079	TNFAIP1
ENST00000226225	ENSG00000109079	TNFAIP1
ENST00000582302	ENSG00000109079	TNFAIP1
ENST00000381553	ENSG00000187258	NPSR1
ENST00000465305	ENSG00000187258	NPSR1
ENST00000360581	ENSG00000187258	NPSR1
ENST00000396095	ENSG00000187258	NPSR1
ENST00000381542	ENSG00000187258	NPSR1
ENST00000381544	ENSG00000187258	NPSR1
ENST00000359791	ENSG00000187258	NPSR1
ENST00000531252	ENSG00000187258	NPSR1
ENST00000381539	ENSG00000187258	NPSR1
ENST00000264883	ENSG00000138750	NUP54
ENST00000514987	ENSG00000138750	NUP54
ENST00000390433	ENSG00000211785	TRAV12-1
ENST00000624552	ENSG00000148357	HMCN2
ENST00000487727	ENSG00000148357	HMCN2
ENST00000428715	ENSG00000148357	HMCN2
ENST00000611173	ENSG00000148357	HMCN2
ENST00000343508	ENSG00000164796	CSMD3
ENST00000297405	ENSG00000164796	CSMD3
ENST00000339701	ENSG00000164796	CSMD3
ENST00000455883	ENSG00000164796	CSMD3
ENST00000614623	ENSG00000278259	MYO19
ENST00000610992	ENSG00000278259	MYO19
ENST00000621550	ENSG00000278259	MYO19
ENST00000610930	ENSG00000278259	MYO19
ENST00000615902	ENSG00000278259	MYO19
ENST00000621344	ENSG00000278259	MYO19
ENST00000620640	ENSG00000278259	MYO19
ENST00000616159	ENSG00000278259	MYO19
ENST00000622055	ENSG00000278259	MYO19
ENST00000616207	ENSG00000278259	MYO19
ENST00000409720	ENSG00000187736	NHEJ1
ENST00000356853	ENSG00000187736	NHEJ1
ENST00000418099	ENSG00000187736	NHEJ1
