# Number of gene annotations for each GO term that are being used for experiments.
# GO_Term	Num_Genes
GO:0051249	236
GO:0050863	184
GO:0046649	178
GO:0051251	172
GO:0008016	170
GO:0007596	150
GO:0045765	150
GO:0050870	136
GO:0070486	121
GO:0001525	116
GO:0050852	115
GO:0071593	115
GO:0070489	114
GO:0042110	114
GO:0050670	113
GO:0045637	104
GO:0002576	96
GO:0030099	96
GO:0030098	95
GO:0030168	90
GO:0007507	89
GO:0007420	85
GO:0042113	84
GO:0008217	80
GO:0042129	80
GO:0045766	80
GO:0050671	77
GO:0045619	72
GO:0009913	69
GO:0030193	69
GO:0008544	68
GO:0002706	66
GO:0006942	66
GO:0050864	62
GO:0002027	61
GO:0050880	61
GO:0045580	61
GO:0051250	61
GO:0061337	60
GO:0030183	58
GO:0002285	56
GO:0001822	55
GO:0042102	55
GO:2000181	54
GO:0045444	53
GO:0031295	53
GO:0031294	53
GO:0016525	52
GO:0045639	51
GO:0006941	51
GO:0016202	50
GO:0050868	47
GO:0030097	47
GO:0045638	47
GO:0045621	46
GO:0051153	46
GO:0046634	45
GO:0043535	44
GO:0030217	43
GO:0046651	42
GO:0021762	41
GO:0002708	40
GO:0050871	40
GO:0045582	39
GO:0003143	38
GO:0002449	38
GO:0030888	37
GO:0002286	37
GO:0002709	36
GO:0048514	36
GO:0046635	36
GO:0030195	36
GO:0008015	36
GO:0072676	34
GO:0001947	34
GO:0008584	34
GO:0055008	34
GO:0090183	33
GO:0060048	33
GO:0003091	32
GO:0071827	32
GO:0070527	32
GO:0014706	31
GO:0045682	31
GO:0070228	30
GO:0019229	29
GO:0050672	29
GO:0046637	29
GO:0042100	29
GO:0030218	27
GO:0001568	27
GO:2000401	27
GO:0050853	27
GO:0010830	27
GO:0045844	26
GO:2000514	26
GO:0055010	26
GO:0046006	26
GO:0048247	26
GO:0055024	26
GO:0010543	26
GO:0060411	26
GO:0045604	25
GO:0002711	25
GO:0090184	25
GO:0051155	25
GO:0045599	25
GO:0055002	25
GO:0048844	25
GO:0022602	24
GO:0003073	24
GO:0001570	24
GO:0045646	24
GO:0046638	24
GO:0030890	24
GO:0030239	23
GO:0045620	23
GO:0034369	23
GO:0043537	23
GO:0043370	23
GO:0003151	22
GO:0042130	22
GO:0048641	22
GO:0007519	22
GO:0072073	22
GO:0045823	21
GO:0042312	21
GO:2000516	21
GO:0043536	21
GO:0002040	21
GO:0043114	20
GO:0021987	20
GO:0046631	20
GO:0060420	20
GO:0045581	20
GO:0002707	19
GO:0003206	19
GO:0003007	19
GO:0035051	19
GO:0030324	19
GO:0045622	19
GO:0007597	18
GO:0003208	18
GO:2000404	18
GO:0048008	18
GO:0050856	18
GO:0034381	18
GO:0003044	18
GO:0002724	18
GO:0043588	18
GO:0002712	18
GO:0030194	18
GO:2000403	18
GO:0043372	18
GO:0045684	18
GO:0050869	18
GO:0002889	17
GO:0090049	17
GO:0001990	17
GO:0043534	17
GO:0070232	17
GO:0045843	17
GO:0002026	17
GO:0003179	17
GO:0061217	17
GO:0003009	17
GO:0034377	17
GO:0002312	17
GO:2000406	16
GO:0001889	16
GO:0045214	16
GO:0055025	16
GO:0072163	16
GO:0051146	16
GO:0042104	16
GO:0045776	16
GO:0045648	16
GO:2000398	15
GO:0051154	15
GO:0033081	15
GO:0002456	15
GO:0061005	15
GO:0034375	15
GO:0072164	15
GO:0042730	15
GO:0007528	14
GO:0045624	14
GO:0055006	14
GO:0002260	14
GO:0021885	14
GO:0060421	14
GO:0061213	14
GO:0001914	14
GO:0007422	14
GO:0031018	14
GO:0060043	14
GO:0045606	14
GO:0045907	14
GO:0060554	14
GO:0046636	14
GO:0046632	14
GO:0060317	14
GO:0046640	14
GO:0072215	14
GO:0022029	13
GO:0003279	13
GO:0033561	13
GO:0070229	13
GO:0035710	13
GO:0046641	13
GO:0010544	13
GO:0002042	13
GO:0010460	13
GO:0001569	12
GO:0002726	12
GO:0001974	12
GO:0042098	12
GO:0061311	12
GO:0055013	12
GO:0045909	12
GO:0072216	12
GO:0003071	12
GO:0051917	12
GO:0090330	12
GO:0090185	12
GO:0010831	12
GO:0045577	12
GO:0014819	11
GO:0002292	11
GO:0055003	11
GO:0070230	11
GO:0002902	11
GO:0042310	11
GO:0010984	11
GO:0048738	11
GO:0050860	11
GO:0001916	11
GO:0055023	11
GO:0010640	11
GO:0002003	11
GO:0048286	11
GO:0030220	10
GO:0072678	10
GO:0002293	10
GO:0001977	10
GO:0001823	10
GO:0030889	10
GO:0021766	10
GO:0003015	10
GO:0051145	10
GO:0045989	10
GO:0034374	10
GO:0002208	10
GO:0048643	10
GO:0002204	10
GO:0055026	10
GO:0060047	10
GO:0043367	10
GO:0045822	10
GO:0050855	10
GO:0003148	10
GO:0019724	10
GO:0002287	10
GO:0090051	10
GO:0045190	10
GO:0010832	10
