GTEX-XXEK-2426-SM-4BRUS	Adipose - Subcutaneous
GTEX-XXEK-1426-SM-4BRW1	Adipose - Visceral (Omentum)
GTEX-XXEK-0004-SM-4BRWO	Cells - EBV-transformed lymphocytes
GTEX-XXEK-0008-SM-4BRW7	Cells - Transformed fibroblasts
GTEX-XXEK-1826-SM-4BRVC	Colon - Sigmoid
GTEX-XXEK-1926-SM-4BRVD	Colon - Transverse
GTEX-XXEK-0526-SM-4BRWD	Esophagus - Gastroesophageal Junction
GTEX-XXEK-0326-SM-4BRVV	Esophagus - Mucosa
GTEX-XXEK-0426-SM-4BRVW	Esophagus - Muscularis
GTEX-XXEK-0726-SM-4BRWF	Artery - Aorta
GTEX-XXEK-2026-SM-4BRVE	Heart - Atrial Appendage
GTEX-XXEK-0926-SM-4BRWH	Heart - Left Ventricle
GTEX-XXEK-0626-SM-4BRWE	Lung
GTEX-XXEK-2526-SM-4BRUR	Nerve - Tibial
GTEX-XXEK-1726-SM-4BRVB	Pancreas
GTEX-XXEK-1626-SM-4BRUZ	Skin - Not Sun Exposed (Suprapubic)
GTEX-XXEK-2226-SM-4BRUM	Skin - Sun Exposed (Lower leg)
GTEX-XXEK-1026-SM-4BRUW	Small Intestine - Terminal Ileum
GTEX-XXEK-0126-SM-4BRVU	Spleen
GTEX-XXEK-0826-SM-4BRWG	Stomach
GTEX-XXEK-1326-SM-4BRV1	Thyroid
GTEX-XXEK-0005-SM-4BRWJ	Whole Blood
