SAMPID	SMTSD
GTEX-13PVQ-3026-SM-5SI93	Brain - Cortex
GTEX-13PVR-0003-SM-5GYDY	Whole Blood
GTEX-13PVR-0126-SM-5S2PY	Liver
GTEX-13PVR-0226-SM-5RQJI	Adrenal Gland
GTEX-13PVR-0326-SM-5RQJY	Spleen
GTEX-13PVR-0426-SM-5RQK2	Skin - Not Sun Exposed (Suprapubic)
GTEX-13PVR-0526-SM-5S2OB	Adipose - Visceral (Omentum)
GTEX-13PVR-0826-SM-5S2PV	Artery - Aorta
GTEX-13PVR-0926-SM-5S2RB	Heart - Atrial Appendage
GTEX-13PVR-1026-SM-5QGQW	Heart - Left Ventricle
GTEX-13PVR-1126-SM-5S2NX	Artery - Coronary
GTEX-13PVR-1226-SM-5RQJ2	Ovary
GTEX-13PVR-1426-SM-5S2PW	Vagina
GTEX-13PVR-1726-SM-5Q5EC	Colon - Sigmoid
GTEX-13PVR-1826-SM-5Q5CC	Esophagus - Mucosa
GTEX-13PVR-2326-SM-5QGR1	Skin - Sun Exposed (Lower leg)
GTEX-13PVR-2426-SM-5RQHN	Adipose - Subcutaneous
GTEX-13PVR-2526-SM-5RQIT	Muscle - Skeletal
GTEX-13PVR-2726-SM-5SI6H	Artery - Tibial
GTEX-13QBU-0003-SM-5DU3V	Whole Blood
GTEX-13QBU-0003-SM-5HJRN_1	Whole Blood
GTEX-13QBU-0126-SM-5LU3V	Artery - Coronary
GTEX-13QBU-0226-SM-5LU48	Heart - Atrial Appendage
GTEX-13QBU-0326-SM-5LU3F	Artery - Aorta
GTEX-13QBU-0426-SM-5J2O4	Heart - Left Ventricle
GTEX-13QBU-0526-SM-5IJFE	Adrenal Gland
GTEX-13QBU-0626-SM-5J2OG	Thyroid
GTEX-13QBU-0726-SM-5J2OA	Lung
GTEX-13QBU-0826-SM-5IJBU	Esophagus - Gastroesophageal Junction
GTEX-13QBU-0926-SM-5K7WQ	Esophagus - Muscularis
GTEX-13QBU-1026-SM-5LU3R	Esophagus - Mucosa
GTEX-13QBU-1126-SM-5LU44	Stomach
GTEX-13QBU-1226-SM-5LU4G	Skin - Not Sun Exposed (Suprapubic)
GTEX-13QBU-1326-SM-5LU4K	Adipose - Visceral (Omentum)
GTEX-13QBU-1526-SM-5LU3W	Ovary
GTEX-13QBU-1626-SM-5LU4S	Uterus
GTEX-13QBU-1726-SM-5IJFQ	Vagina
GTEX-13QBU-1826-SM-5IJG3	Colon - Transverse
GTEX-13QBU-1926-SM-5IJEW	Small Intestine - Terminal Ileum
GTEX-13QBU-2026-SM-5KLZB	Colon - Sigmoid
GTEX-13QBU-2126-SM-5KLZN	Minor Salivary Gland
GTEX-13QBU-2226-SM-5K7WI	Artery - Tibial
GTEX-13QBU-2326-SM-5LU49	Nerve - Tibial
GTEX-13QBU-2426-SM-5LU4L	Muscle - Skeletal
GTEX-13QBU-2526-SM-5LU4X	Adipose - Subcutaneous
GTEX-13QIC-0004-SM-5DU5F	Whole Blood
GTEX-13QIC-0004-SM-5HJR4	Whole Blood
GTEX-13QIC-0011-R10a-SM-5O9C7	Brain - Frontal Cortex (BA9)
GTEX-13QIC-0011-R11b-SM-5O9BU	Brain - Cerebellar Hemisphere
GTEX-13QIC-0011-R1a-SM-5O9CJ	Brain - Hippocampus
GTEX-13QIC-0011-R3a-SM-5P9HT	Brain - Anterior cingulate cortex (BA24)
GTEX-13QIC-0011-R4a-SM-5PNX8	Brain - Amygdala
GTEX-13QIC-0011-R8b-SM-5O9CV	Brain - Hypothalamus
GTEX-13QIC-1226-SM-5K7YR	Muscle - Skeletal
GTEX-13QIC-1426-SM-5LU4V	Nerve - Tibial
GTEX-13QIC-1526-SM-5IJFL	Ovary
GTEX-13QIC-1626-SM-5K7TZ	Artery - Tibial
GTEX-13QIC-1826-SM-5J1MY	Vagina
GTEX-13QIC-2026-SM-5N9G9	Esophagus - Gastroesophageal Junction
GTEX-13QIC-2326-SM-5LU5N	Breast - Mammary Tissue
GTEX-13QIC-2926-SM-5J2NF	Brain - Cortex
GTEX-13QIC-3026-SM-5LU58	Brain - Cerebellum
GTEX-13QJ3-0002-SM-5DU5T	Whole Blood
GTEX-13QJ3-0002-SM-5HJRS_1	Whole Blood
GTEX-13QJ3-0226-SM-5S2PU	Testis
GTEX-13QJ3-0426-SM-5RQHP	Adipose - Subcutaneous
GTEX-13QJ3-0626-SM-5SI6G	Artery - Tibial
GTEX-13QJ3-0726-SM-5SI68	Muscle - Skeletal
GTEX-13QJ3-1026-SM-5QGQU	Lung
GTEX-13QJ3-1726-SM-5RQK9	Esophagus - Mucosa
GTEX-13QJ3-1826-SM-5S2PT	Esophagus - Muscularis
GTEX-13QJ3-1926-SM-5QGQM	Esophagus - Gastroesophageal Junction
GTEX-13QJ3-2726-SM-5SI6L	Stomach
GTEX-13QJC-0003-SM-5GYCG	Whole Blood
GTEX-13QJC-0003-SM-5HJQ8	Whole Blood
GTEX-13QJC-0011-R10a-SM-5SI63	Brain - Frontal Cortex (BA9)
GTEX-13QJC-0011-R1b-SM-5S2UU	Brain - Hippocampus
GTEX-13QJC-0011-R2b-SM-5PNUN	Brain - Substantia nigra
GTEX-13QJC-0011-R6a-SM-5S2VI	Brain - Nucleus accumbens (basal ganglia)
GTEX-13QJC-0011-R7b-SM-5PNUM	Brain - Putamen (basal ganglia)
GTEX-13QJC-0011-R8b-SM-5S2U6	Brain - Hypothalamus
GTEX-13QJC-0011-R9b-SM-5PNX3	Brain - Spinal cord (cervical c-1)
GTEX-13QJC-0526-SM-5RQKB	Lung
GTEX-13QJC-0626-SM-5S2O9	Artery - Coronary
GTEX-13QJC-0726-SM-5RQJK	Liver
GTEX-13QJC-0826-SM-5RQKC	Thyroid
GTEX-13QJC-2326-SM-5Q5CD	Minor Salivary Gland
GTEX-13RTJ-0003-SM-5GY9V	Whole Blood
GTEX-13RTJ-0003-SM-5HJQ6	Whole Blood
GTEX-13RTJ-0011-R10b-SM-5O9CW	Brain - Frontal Cortex (BA9)
GTEX-13RTJ-0011-R11a-SM-5O9CK	Brain - Cerebellar Hemisphere
GTEX-13RTJ-0011-R1a-SM-5O9D9	Brain - Hippocampus
GTEX-13RTJ-0011-R2a-SM-5PNW9	Brain - Substantia nigra
GTEX-13RTJ-0011-R3a-SM-5PNX7	Brain - Anterior cingulate cortex (BA24)
GTEX-13RTJ-0011-R4b-SM-5PNX1	Brain - Amygdala
GTEX-13RTJ-0011-R5a-SM-5P9HR	Brain - Caudate (basal ganglia)
GTEX-13RTJ-0011-R6a-SM-5SI74	Brain - Nucleus accumbens (basal ganglia)
GTEX-13RTJ-0011-R7b-SM-5P9JS	Brain - Putamen (basal ganglia)
GTEX-13RTJ-0011-R8b-SM-5O9DL	Brain - Hypothalamus
GTEX-13RTJ-0011-R9a-SM-5Q5AY	Brain - Spinal cord (cervical c-1)
GTEX-13RTJ-0126-SM-5S2NN	Skin - Not Sun Exposed (Suprapubic)
GTEX-13RTJ-0626-SM-5S2NB	Artery - Coronary
GTEX-13RTJ-0726-SM-5QGQN	Heart - Left Ventricle
GTEX-13RTJ-1126-SM-5S2UJ	Lung
GTEX-13RTJ-2126-SM-5S2PZ	Prostate
GTEX-13RTJ-2226-SM-5S2Q1	Kidney - Cortex
GTEX-13RTJ-2426-SM-5S2Q2	Skin - Sun Exposed (Lower leg)
GTEX-13RTJ-2526-SM-5S2Q3	Adipose - Subcutaneous
GTEX-13RTJ-2826-SM-5QGQH	Nerve - Tibial
GTEX-13RTJ-2926-SM-5Q5DE	Pituitary
GTEX-13RTJ-3126-SM-5S2Q4	Brain - Cerebellum
GTEX-13RTK-0003-SM-5DU57	Whole Blood
GTEX-13RTK-0003-SM-5HJRF	Whole Blood
GTEX-13RTK-0126-SM-5RQHQ	Artery - Aorta
GTEX-13RTK-0226-SM-5RQHR	Stomach
GTEX-13RTK-0326-SM-5RQHS	Thyroid
GTEX-13RTK-0426-SM-5RQHT	Esophagus - Gastroesophageal Junction
GTEX-13RTK-0526-SM-5S2QF	Esophagus - Mucosa
GTEX-13RTK-0626-SM-5Q5EK	Esophagus - Muscularis
GTEX-13RTK-0726-SM-5Q5EN	Adipose - Visceral (Omentum)
GTEX-13RTK-0826-SM-5Q5C6	Small Intestine - Terminal Ileum
GTEX-13RTK-1626-SM-5QGQS	Muscle - Skeletal
GTEX-13RTK-1826-SM-5S2P3	Artery - Tibial
GTEX-13RTL-0011-R1a-SM-5PNZ8	Brain - Hippocampus
GTEX-13RTL-0011-R3a-SM-5P9JP	Brain - Anterior cingulate cortex (BA24)
GTEX-13RTL-0011-R9a-SM-5Q5BR	Brain - Spinal cord (cervical c-1)
GTEX-13S7M-0003-SM-5DU58	Whole Blood
GTEX-13S7M-0003-SM-5HJRR	Whole Blood
GTEX-13S7M-0005-SM-5NQ76	Whole Blood
GTEX-13S7M-0011-R10b-SM-5PNZB	Brain - Frontal Cortex (BA9)
GTEX-13S7M-0011-R11b-SM-5P9HU	Brain - Cerebellar Hemisphere
GTEX-13S7M-0011-R1b-SM-5PNZE	Brain - Hippocampus
GTEX-13S7M-0011-R3a-SM-5PNX2	Brain - Anterior cingulate cortex (BA24)
GTEX-13S7M-0011-R5b-SM-5P9HS	Brain - Caudate (basal ganglia)
GTEX-13S7M-0011-R6b-SM-5O9D8	Brain - Nucleus accumbens (basal ganglia)
GTEX-13S7M-0011-R7a-SM-5O9DK	Brain - Putamen (basal ganglia)
GTEX-13S7M-0011-R9a-SM-5O9DW	Brain - Spinal cord (cervical c-1)
GTEX-13S7M-0126-SM-5SI6A	Skin - Sun Exposed (Lower leg)
GTEX-13S7M-0226-SM-5S2UG	Adipose - Subcutaneous
GTEX-13S7M-0326-SM-5S2PH	Muscle - Skeletal
GTEX-13S7M-0426-SM-5S2US	Nerve - Tibial
GTEX-13S7M-0826-SM-5QGQX	Adipose - Visceral (Omentum)
GTEX-13S7M-1726-SM-5RQK3	Uterus
GTEX-13S7M-1826-SM-5RQK6	Stomach
GTEX-13S7M-2226-SM-5S2WB	Artery - Coronary
GTEX-13S7M-3026-SM-5S2QQ	Brain - Cerebellum
GTEX-13S7M-3126-SM-5RQJQ	Brain - Cortex
GTEX-13S86-0003-SM-5DU4X	Whole Blood
GTEX-13S86-0003-SM-5HJPD	Whole Blood
GTEX-13S86-0005-SM-5NQ7I	Whole Blood
GTEX-13S86-0126-SM-5S2PI	Spleen
GTEX-13S86-0226-SM-5S2PJ	Heart - Left Ventricle
GTEX-13S86-0326-SM-5SI6K	Heart - Atrial Appendage
GTEX-13S86-0526-SM-5QGPZ	Artery - Coronary
GTEX-13S86-0626-SM-5Q5E7	Lung
GTEX-13S86-0726-SM-5Q5DH	Esophagus - Muscularis
GTEX-13S86-0826-SM-5SI6J	Esophagus - Mucosa
GTEX-13S86-0926-SM-5SI6I	Adipose - Visceral (Omentum)
GTEX-13S86-1126-SM-5RQJX	Thyroid
GTEX-13S86-1226-SM-5S2OA	Breast - Mammary Tissue
GTEX-13S86-1626-SM-5Q5C5	Colon - Transverse
GTEX-13S86-2326-SM-5RQK1	Muscle - Skeletal
GTEX-13S86-2426-SM-5S2MX	Nerve - Tibial
GTEX-13S86-2526-SM-5S2V5	Artery - Tibial
GTEX-13SLW-0003-SM-5DU4Y	Whole Blood
GTEX-13SLW-0003-SM-5HJRH	Whole Blood
GTEX-13SLW-0011-R10a-SM-5S2UI	Brain - Frontal Cortex (BA9)
GTEX-13SLW-0011-R11a-SM-5SI8Q	Brain - Cerebellar Hemisphere
GTEX-13SLW-0011-R1a-SM-5S2W7	Brain - Hippocampus
GTEX-13SLW-0011-R2b-SM-5O9C6	Brain - Substantia nigra
GTEX-13SLW-0011-R3b-SM-5SI6Y	Brain - Anterior cingulate cortex (BA24)
GTEX-13SLW-0011-R4b-SM-5S2W2	Brain - Amygdala
GTEX-13SLW-0011-R5b-SM-5SI6Z	Brain - Caudate (basal ganglia)
GTEX-13SLW-0011-R6a-SM-5O9BH	Brain - Nucleus accumbens (basal ganglia)
GTEX-13SLW-0011-R8b-SM-5SI64	Brain - Hypothalamus
GTEX-13SLW-0011-R9a-SM-5O9BT	Brain - Spinal cord (cervical c-1)
GTEX-13SLW-0126-SM-5SI6C	Skin - Sun Exposed (Lower leg)
GTEX-13SLW-0226-SM-5S2NA	Adipose - Subcutaneous
GTEX-13SLW-0326-SM-5RQK5	Muscle - Skeletal
GTEX-13SLW-0626-SM-5Q5ER	Skin - Not Sun Exposed (Suprapubic)
GTEX-13SLW-0826-SM-5QGP7	Heart - Atrial Appendage
GTEX-13SLW-2826-SM-5Q5ES	Colon - Sigmoid
GTEX-13SLW-2926-SM-5Q5BQ	Pituitary
GTEX-13SLX-0003-SM-5DU5R	Whole Blood
GTEX-13SLX-0003-SM-5HJPY	Whole Blood
GTEX-13SLX-0011-R10a-SM-5P9HV	Brain - Frontal Cortex (BA9)
GTEX-13SLX-0011-R11b-SM-5O9C8	Brain - Cerebellar Hemisphere
GTEX-13SLX-0011-R2b-SM-5S2VP	Brain - Substantia nigra
GTEX-13SLX-0011-R4a-SM-5O9BJ	Brain - Amygdala
GTEX-13SLX-0011-R5a-SM-5O9BV	Brain - Caudate (basal ganglia)
GTEX-13SLX-0011-R6a-SM-5PNX4	Brain - Nucleus accumbens (basal ganglia)
GTEX-13SLX-0011-R8b-SM-5PNWZ	Brain - Hypothalamus
GTEX-13SLX-0011-R9b-SM-5SI6X	Brain - Spinal cord (cervical c-1)
GTEX-13SLX-0126-SM-5S2MM	Nerve - Tibial
GTEX-13SLX-0326-SM-5Q5E4	Muscle - Skeletal
GTEX-13SLX-0426-SM-5QGRC	Adipose - Subcutaneous
GTEX-13SLX-0526-SM-5S2ON	Skin - Sun Exposed (Lower leg)
GTEX-13SLX-0926-SM-5S2NM	Heart - Atrial Appendage
GTEX-13SLX-1226-SM-5S2Q6	Liver
GTEX-13SLX-1326-SM-5S2QS	Pancreas
GTEX-13SLX-1726-SM-5Q5E5	Esophagus - Mucosa
GTEX-13SLX-3026-SM-5RQJU	Pituitary
GTEX-13SLX-3126-SM-5S2Q5	Brain - Cortex
GTEX-13U4I-0004-SM-5DU3P	Whole Blood
GTEX-13U4I-0004-SM-5HJPX	Whole Blood
GTEX-13U4I-0006-SM-5N9CI	Whole Blood
GTEX-13U4I-0126-SM-5LU38	Skin - Sun Exposed (Lower leg)
GTEX-13U4I-0226-SM-5SIB1	Adipose - Subcutaneous
GTEX-13U4I-0426-SM-5LU4W	Artery - Tibial
GTEX-13U4I-0526-SM-5LU59	Thyroid
GTEX-13U4I-0626-SM-5LU5L	Heart - Atrial Appendage
GTEX-13U4I-0826-SM-5SIBD	Heart - Left Ventricle
GTEX-13U4I-0926-SM-5LU5A	Artery - Coronary
GTEX-13U4I-1026-SM-5LU3G	Artery - Aorta
GTEX-13U4I-1126-SM-5LU3S	Esophagus - Mucosa
GTEX-13U4I-1226-SM-5LU5M	Esophagus - Muscularis
GTEX-13U4I-1326-SM-5KM25	Esophagus - Gastroesophageal Junction
GTEX-13U4I-1426-SM-5J2M3	Lung
GTEX-13U4I-1526-SM-5IFFF	Pancreas
GTEX-13U4I-1626-SM-5IFFR	Spleen
GTEX-13U4I-1726-SM-5J1MF	Adipose - Visceral (Omentum)
GTEX-13U4I-1826-SM-5IJD2	Muscle - Skeletal
GTEX-13U4I-1926-SM-5LU39	Uterus
GTEX-13U4I-2026-SM-5LU3L	Vagina
GTEX-13U4I-2126-SM-5LU55	Ovary
GTEX-13U4I-2226-SM-5LU5H	Skin - Not Sun Exposed (Suprapubic)
GTEX-13U4I-2426-SM-5LU34	Colon - Transverse
GTEX-13U4I-2526-SM-5SI8Z	Stomach
GTEX-13U4I-2626-SM-5SI9C	Colon - Sigmoid
GTEX-13VXT-0003-SM-5GY9Y	Whole Blood
GTEX-13VXT-0003-SM-5HJR7	Whole Blood
GTEX-13VXT-0005-SM-5N9F3	Whole Blood
GTEX-13VXT-0126-SM-5LU4I	Skin - Sun Exposed (Lower leg)
GTEX-13VXT-0226-SM-5LU9Q	Adipose - Subcutaneous
GTEX-13VXT-0326-SM-5LU4U	Muscle - Skeletal
GTEX-13VXT-0426-SM-5LU57	Nerve - Tibial
GTEX-13VXT-0526-SM-5SI9O	Artery - Tibial
GTEX-13VXT-0626-SM-5SIA1	Thyroid
GTEX-13VXT-0726-SM-5SIAD	Heart - Atrial Appendage
GTEX-13VXT-0826-SM-5SIAP	Artery - Aorta
GTEX-13VXT-0926-SM-5LU5K	Adipose - Visceral (Omentum)
GTEX-13VXT-1026-SM-5LU37	Artery - Coronary
GTEX-13VXT-1126-SM-5LU3A	Heart - Left Ventricle
GTEX-13VXT-1226-SM-5LU3M	Pancreas
GTEX-13VXT-1326-SM-5LU3Y	Spleen
GTEX-13VXT-1426-SM-5LU4B	Lung
GTEX-13VXT-1526-SM-5LU3J	Ovary
GTEX-13VXT-1626-SM-5IJES	Uterus
GTEX-13VXT-1726-SM-5IFF5	Minor Salivary Gland
GTEX-13VXT-1826-SM-5KM2F	Esophagus - Gastroesophageal Junction
GTEX-13VXT-1926-SM-5K7UO	Skin - Not Sun Exposed (Suprapubic)
GTEX-13VXT-2026-SM-5L3EW	Colon - Sigmoid
GTEX-13VXT-2426-SM-5LU46	Colon - Transverse
GTEX-13VXU-0004-SM-5DU5Q	Whole Blood
GTEX-13VXU-0004-SM-5HJQS	Whole Blood
GTEX-13VXU-0006-SM-5N9FF	Whole Blood
GTEX-13VXU-0011-R11b-SM-5O9DJ	Brain - Cerebellar Hemisphere
GTEX-13VXU-0011-R3b-SM-5O9CU	Brain - Anterior cingulate cortex (BA24)
GTEX-13VXU-0011-R4b-SM-5O9CI	Brain - Amygdala
GTEX-13VXU-0011-R5a-SM-5O9D7	Brain - Caudate (basal ganglia)
GTEX-13VXU-0011-R6a-SM-5SI71	Brain - Nucleus accumbens (basal ganglia)
GTEX-13VXU-0011-R7b-SM-5SI72	Brain - Putamen (basal ganglia)
GTEX-13VXU-0011-R9b-SM-5SI73	Brain - Spinal cord (cervical c-1)
GTEX-13VXU-0126-SM-5SI9F	Skin - Sun Exposed (Lower leg)
GTEX-13VXU-0226-SM-5SI9R	Adipose - Subcutaneous
GTEX-13VXU-0326-SM-5LU36	Muscle - Skeletal
GTEX-13VXU-0426-SM-5LU3I	Nerve - Tibial
GTEX-13VXU-0526-SM-5K7V1	Artery - Tibial
GTEX-13VXU-0626-SM-5L3F9	Skin - Not Sun Exposed (Suprapubic)
GTEX-13VXU-0726-SM-5J2O7	Testis
GTEX-13VXU-0826-SM-5KLZ2	Thyroid
GTEX-13VXU-0926-SM-5IFFH	Liver
GTEX-13VXU-1026-SM-5KLZE	Adipose - Visceral (Omentum)
GTEX-13VXU-1126-SM-5LU3U	Esophagus - Gastroesophageal Junction
GTEX-13VXU-1926-SM-5LU5J	Artery - Coronary
GTEX-13VXU-2726-SM-5LU4N	Lung
GTEX-13VXU-2926-SM-5LU5C	Brain - Cortex
GTEX-13VXU-3026-SM-5LU3K	Brain - Cerebellum
GTEX-13VXU-3126-SM-5SIA4	Pituitary
GTEX-13W3W-0004-SM-5GYAC	Whole Blood
GTEX-13W3W-0004-SM-5HJPI	Whole Blood
GTEX-13W3W-0005-SM-5SI9Y	Whole Blood
GTEX-13W3W-0426-SM-5SI9D	Heart - Left Ventricle
GTEX-13W3W-0526-SM-5LU3X	Heart - Atrial Appendage
GTEX-13W3W-0626-SM-5LU45	Artery - Coronary
GTEX-13W3W-0726-SM-5IJDQ	Skin - Not Sun Exposed (Suprapubic)
GTEX-13W3W-1026-SM-5IFG4	Pancreas
GTEX-13W3W-1126-SM-5L3DO	Adipose - Visceral (Omentum)
GTEX-13W3W-1226-SM-5LU4H	Breast - Mammary Tissue
GTEX-13W3W-1326-SM-5LU4T	Adrenal Gland
GTEX-13W3W-1426-SM-5LU56	Uterus
GTEX-13W3W-1526-SM-5LU5I	Ovary
GTEX-13W3W-1626-SM-5LU35	Esophagus - Mucosa
GTEX-13W3W-1726-SM-5LU4A	Esophagus - Muscularis
GTEX-13W3W-1826-SM-5IJDE	Esophagus - Gastroesophageal Junction
GTEX-13W3W-2026-SM-5K7UL	Small Intestine - Terminal Ileum
GTEX-13W3W-2126-SM-5K7UX	Colon - Transverse
GTEX-13W3W-2226-SM-5LU4M	Colon - Sigmoid
GTEX-13W3W-2326-SM-5LU4Y	Vagina
GTEX-13W3W-2426-SM-5LU5B	Skin - Sun Exposed (Lower leg)
GTEX-13W3W-2526-SM-5SI9P	Adipose - Subcutaneous
GTEX-13W3W-2626-SM-5SIA2	Muscle - Skeletal
GTEX-13W3W-2726-SM-5SIAE	Nerve - Tibial
GTEX-13W46-0003-SM-5DU47	Whole Blood
GTEX-13W46-0003-SM-5HJPN	Whole Blood
GTEX-13W46-0226-SM-5SIAG	Skin - Sun Exposed (Lower leg)
GTEX-13W46-0526-SM-5IJBD	Nerve - Tibial
GTEX-13W46-0626-SM-5LU3N	Artery - Tibial
GTEX-13W46-0726-SM-5LU3Z	Muscle - Skeletal
GTEX-13W46-0826-SM-5LU3H	Breast - Mammary Tissue
GTEX-13W46-0926-SM-5LU3T	Thyroid
GTEX-13W46-1226-SM-5SIAS	Adipose - Visceral (Omentum)
GTEX-13W46-1826-SM-5K7VA	Artery - Aorta
GTEX-13W46-1926-SM-5J2MF	Esophagus - Mucosa
GTEX-13X6H-0001-SM-5DU55	Whole Blood
GTEX-13X6H-0001-SM-5HJR3	Whole Blood
GTEX-13X6H-0126-SM-5QGOS	Artery - Aorta
GTEX-13X6H-0426-SM-5LU4E	Heart - Left Ventricle
GTEX-13X6H-0526-SM-5LU4Q	Thyroid
GTEX-13X6H-0626-SM-5LU53	Pancreas
GTEX-13X6H-0726-SM-5Q5BX	Spleen
GTEX-13X6H-0926-SM-5SIB2	Skin - Not Sun Exposed (Suprapubic)
GTEX-13X6H-1026-SM-5SIBE	Ovary
GTEX-13X6H-1326-SM-5LU42	Esophagus - Mucosa
GTEX-13X6H-1426-SM-5SI91	Esophagus - Muscularis
GTEX-13X6H-1526-SM-5Q5E2	Esophagus - Gastroesophageal Junction
GTEX-13X6H-1626-SM-5Q5CT	Stomach
GTEX-13X6H-1726-SM-5Q5EH	Adipose - Visceral (Omentum)
GTEX-13X6H-2526-SM-5QGOT	Artery - Tibial
GTEX-13X6I-0002-SM-5DU4A	Whole Blood
GTEX-13X6I-0002-SM-5HJQC	Whole Blood
GTEX-13X6I-0011-R10a-SM-5PNWI	Brain - Frontal Cortex (BA9)
GTEX-13X6I-0011-R11a-SM-5P9HN	Brain - Cerebellar Hemisphere
GTEX-13X6I-0011-R1b-SM-5PNZC	Brain - Hippocampus
GTEX-13X6I-0011-R2b-SM-5PNWQ	Brain - Substantia nigra
GTEX-13X6I-0011-R3b-SM-5P9HM	Brain - Anterior cingulate cortex (BA24)
GTEX-13X6I-0011-R4b-SM-5PNU9	Brain - Amygdala
GTEX-13X6I-0011-R5a-SM-5PNWW	Brain - Caudate (basal ganglia)
GTEX-13X6I-0011-R7b-SM-5PNWP	Brain - Putamen (basal ganglia)
GTEX-13X6I-0011-R8a-SM-5PNZF	Brain - Hypothalamus
GTEX-13X6I-0011-R9b-SM-5PNZJ	Brain - Spinal cord (cervical c-1)
GTEX-13X6I-0526-SM-5QGP8	Muscle - Skeletal
GTEX-13X6I-0626-SM-5QGP9	Skin - Sun Exposed (Lower leg)
GTEX-13X6I-0926-SM-5LUAB	Artery - Aorta
GTEX-13X6I-1026-SM-5LU4C	Esophagus - Mucosa
GTEX-13X6I-1426-SM-5SI9Z	Heart - Left Ventricle
GTEX-13X6I-1526-SM-5SIAC	Adipose - Visceral (Omentum)
GTEX-13X6I-1826-SM-5SIAO	Skin - Not Sun Exposed (Suprapubic)
GTEX-13X6I-2726-SM-5Q5ET	Colon - Sigmoid
GTEX-13X6I-2926-SM-5Q5C3	Brain - Cerebellum
GTEX-13X6J-0002-SM-5DU4W	Whole Blood
GTEX-13X6J-0002-SM-5HJRQ_1	Whole Blood
GTEX-13X6J-0011-R10b-SM-5PNWA	Brain - Frontal Cortex (BA9)
GTEX-13X6J-0011-R11a-SM-5P9HE	Brain - Cerebellar Hemisphere
GTEX-13X6J-0011-R3b-SM-5P9K5	Brain - Anterior cingulate cortex (BA24)
GTEX-13X6J-0011-R4b-SM-5P9K4	Brain - Amygdala
GTEX-13X6J-0011-R5b-SM-5PNWT	Brain - Caudate (basal ganglia)
GTEX-13X6J-0011-R6a-SM-5PNUB	Brain - Nucleus accumbens (basal ganglia)
GTEX-13X6J-0011-R7b-SM-5PNUC	Brain - Putamen (basal ganglia)
GTEX-13X6J-0011-R8b-SM-5PNUA	Brain - Hypothalamus
GTEX-13X6J-0126-SM-5QGOU	Skin - Sun Exposed (Lower leg)
GTEX-13X6J-0426-SM-5O9D3	Nerve - Tibial
GTEX-13X6J-0626-SM-5LU5F	Skin - Not Sun Exposed (Suprapubic)
GTEX-13X6J-0826-SM-5LU32	Thyroid
GTEX-13X6J-1326-SM-5QGOV	Artery - Coronary
GTEX-13X6J-1626-SM-5Q5CV	Esophagus - Muscularis
GTEX-13X6J-3026-SM-5Q5CU	Brain - Cortex
GTEX-13X6J-3126-SM-5Q5EJ	Pituitary
GTEX-13X6K-0003-SM-5DU4M	Whole Blood
GTEX-13X6K-0003-SM-5HJPO	Whole Blood
GTEX-13X6K-0011-R10a-SM-5P9JR	Brain - Frontal Cortex (BA9)
GTEX-13X6K-0011-R11a-SM-5P9F5	Brain - Cerebellar Hemisphere
GTEX-13X6K-0011-R2b-SM-5P9K3	Brain - Substantia nigra
GTEX-13X6K-0011-R3b-SM-5PNUD	Brain - Anterior cingulate cortex (BA24)
GTEX-13X6K-0011-R4b-SM-5P9HO	Brain - Amygdala
GTEX-13X6K-0011-R5b-SM-5PNUE	Brain - Caudate (basal ganglia)
GTEX-13X6K-0011-R6a-SM-5P9K6	Brain - Nucleus accumbens (basal ganglia)
GTEX-13X6K-0011-R7b-SM-5P9K7	Brain - Putamen (basal ganglia)
GTEX-13X6K-0011-R8b-SM-5PNZ4	Brain - Hypothalamus
GTEX-13X6K-0226-SM-5QGPB	Adipose - Subcutaneous
GTEX-13X6K-0326-SM-5Q5D6	Muscle - Skeletal
GTEX-13X6K-0426-SM-5O9DZ	Nerve - Tibial
GTEX-13X6K-0526-SM-5LU51	Artery - Tibial
GTEX-13X6K-0626-SM-5LU5D	Skin - Not Sun Exposed (Suprapubic)
GTEX-13X6K-0726-SM-5LU2Z	Adipose - Visceral (Omentum)
GTEX-13X6K-1826-SM-5O9CR	Heart - Left Ventricle
GTEX-13X6K-1926-SM-5LU4O	Artery - Aorta
GTEX-13X6K-2126-SM-5O9D4	Esophagus - Mucosa
GTEX-13X6K-2726-SM-5O9DG	Colon - Sigmoid
GTEX-13X6K-2826-SM-5O9DS	Brain - Cerebellum
GTEX-13X6K-2926-SM-5Q5D5	Brain - Cortex
GTEX-13X6K-3026-SM-5QGPA	Pituitary
GTEX-13YAN-0326-SM-5O9DF	Skin - Sun Exposed (Lower leg)
GTEX-13YAN-0426-SM-5O9DR	Adipose - Subcutaneous
GTEX-13YAN-0526-SM-5O9BE	Muscle - Skeletal
GTEX-13YAN-0626-SM-5O9BQ	Nerve - Tibial
GTEX-13YAN-0926-SM-5O9C3	Thyroid
GTEX-13YAN-1026-SM-5O9CF	Lung
GTEX-13YAN-1326-SM-5Q5F1	Heart - Left Ventricle
GTEX-13YAN-1526-SM-5LU3E	Artery - Aorta
GTEX-13YAN-1826-SM-5LU3Q	Esophagus - Gastroesophageal Junction
GTEX-13YAN-2026-SM-5Q5EY	Esophagus - Muscularis
GTEX-13YAN-2126-SM-5Q5C4	Pancreas
